Artist,Track,Track ID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Gregory Porter,1960 What,"0dNp0wp0bH9aEgRVoGQ2iV
",0.030242228835978838,0.039433145943562606,0.057771164021164015,0.025551697530864198,0,0.016887010087820273,0.042847222222222224,0.19791666666666669,0,0.03613756613756614
DJ Shadow,Systematic,"6pWEpHYjx4cNDJf46g0plZ
",0.014893920035526765,0.009496455752966171,0.013570004776601998,0.08345720480543976,0.032916666666666664,0.014987185846560848,0.023903861699000592,0.015115327380952382,0.03200396825396826,0.016966813183604247
Lefties Soul Connection,Organ Donor,"6HbsiIqo4znS4iOFbbLzfK
",,,,,,,,,,
Kendrick Lamar,FEAR,"3SP0MlWYfu7xt1ZfMqBxh9
",0.006365502772667561,0.005342448362202029,0.004053945008539419,0.012329132970715232,0.010381723233621583,0.0025726303857963014,0.010315690694762155,0.012023847784556055,0.013536520390831733,0.008871930846643382
Roy Hamilton,Dont Let Go,"3JQLM7sS9dfHN5d63Fw2b0
",0.027813767636684306,0.11951388888888888,0.09236111111111112,0.06109126984126984,0.15000000000000002,0.06375,0.04188368055555555,0.15625,0.06847222222222223,0.10625000000000001
Ace Ventura Symbolic Avalon,Prime Time,"10WK52Kj4xkU9s96iC2hXL
",,,,,,,,,,
Jme,The Return,"0KXU7wE6c99HovD85Wl7er
",,,,,,,,,,
Walter Trout,Sittin On Top Of The World,"7u1jL4CcyiVFKgqRrDteOf
",,,,,,,,,,
Junior Kimbrough,Juniors Place,"6iV8YSWlcwPPVxWryTMPFb
",,,,,,,,,,
Crazy Penis,Theres A Better Place,"4L6MbLRopSlGLW2K6GGhh7
",0.3333333333333333,0,0,0,0,0,0,0,0,0.3333333333333333
Robbie Williams,Rock DJ,"4pbyDPjFgfPqFTcIMC8xpK
",0.04265697137078453,0.03746440512933568,0.14583333333333331,0.12708333333333333,0.25,0.07129629629629629,0.10486111111111111,0.042302781452087004,0.25,0.06370425485008818
Lou Donaldson,Its Your Thing,"5ieML2mmV4LKYTzZg8VGom
",,,,,,,,,,
DSP BKP Suppah,Ugy Akarok Elni,"6W4ophLiRjGiIRTousmZBx
",,,,,,,,,,
Buckshot LeFonque,Music Evolution,"40VpMYDhTMvr4XXSVXmVvl
",0.04773300626522606,0.008348430000809,0.016795385673568544,0.008648555275880423,0.01679519534178099,0.010695527398027881,0.016672867063492063,0.011807944689297268,0.027539682539682538,0.011358111121131954
SG Lewis Gallant,Holding Back,"2ygpSpdd8MZTXNTgFKKmWu
",,,,,,,,,,
